t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q,void,gamma,G,nu,Sy,M,Group
1.36,-348645.946893204,-519999.998352302,-519999.998352302,-0.0032,0.0016,0.0016,0,0.00320000000004626,462881.981199269,171354.051459098,0.00377118017153033,0.5,0.00377118017153033,100000000,0.25,100000,0.577350269189626,1
1.38,-328645.946893203,-529999.998352302,-529999.998352302,-0.0031,0.00155,0.00155,0,0.00310000000004775,462881.981199269,201354.051459098,0.00377118017153033,0.5,0.00377118017153033,100000000,0.25,100000,0.577350269189626,1
1.4,-308645.946893204,-539999.998352302,-539999.998352302,-0.003,0.0015,0.0015,0,0.00300000000004934,462881.981199269,231354.051459098,0.00377118017153033,0.5,0.00377118017153033,100000000,0.25,100000,0.577350269189626,1
1.42,-288645.946893204,-549999.998352302,-549999.998352302,-0.0029,0.00145,0.00145,0,0.00290000000005104,462881.981199269,261354.051459098,0.00377118017153033,0.5,0.00377118017153033,100000000,0.25,100000,0.577350269189626,1
1.44,-268645.946893203,-559999.998352302,-559999.998352302,-0.0028,0.0014,0.0014,0,0.00280000000005287,462881.981199269,291354.051459098,0.00377118017153033,0.5,0.00377118017153033,100000000,0.25,100000,0.577350269189626,1
1.46,-248645.946893203,-569999.998352302,-569999.998352302,-0.0027,0.00135,0.00135,0,0.00270000000005482,462881.981199269,321354.051459098,0.00377118017153033,0.5,0.00377118017153033,100000000,0.25,100000,0.577350269189626,1
1.48,-226030.47789076,-580033.328681092,-580033.328681092,-0.0026,0.0013,0.0013,0,0.00260000000005693,462032.378417648,354002.850790332,0.00376235084042622,0.5,0.00376235084042622,100000000,0.25,100000,0.577350269189626,1
1.5,-215161.662001714,-589916.965088796,-589916.965088796,-0.0025,0.00125,0.00125,0,0.00250000000005921,464998.530726435,374755.303087082,0.00379317599943705,0.5,0.00379317599943705,100000000,0.25,100000,0.577350269189626,1
1.52,-220119.106510941,-599598.918944685,-599598.918944685,-0.0024,0.0012,0.0012,0,0.00240000000006168,473105.648133437,379479.812433745,0.00387742763494817,0.5,0.00387742763494817,100000000,0.25,100000,0.577350269189626,1
1.54,-225356.518950271,-609277.305018601,-609277.305018601,-0.0023,0.00115,0.00115,0,0.00230000000006436,481303.709662491,383920.78606833,0.00396262438949956,0.5,0.00396262438949956,100000000,0.25,100000,0.577350269189626,1
1.56,-230350.50711075,-618958.79317908,-618958.79317908,-0.0022,0.0011,0.0011,0,0.00220000000006728,489422.69782297,388608.28606833,0.00404699938949956,0.5,0.00404699938949956,100000000,0.25,100000,0.577350269189626,1
1.58,-235344.495271229,-628640.281339559,-628640.281339559,-0.0021,0.00105,0.00105,0,0.00210000000007049,497541.685983449,393295.78606833,0.00413137438949956,0.5,0.00413137438949956,100000000,0.25,100000,0.577350269189626,1
1.6,-240338.483431708,-638321.769500038,-638321.769500038,-0.002,0.000999999999999999,0.000999999999999999,0,0.00200000000007401,505660.674143928,397983.28606833,0.00421574938949956,0.5,0.00421574938949956,100000000,0.25,100000,0.577350269189626,1
1.62,-245332.471592187,-648003.257660517,-648003.257660517,-0.0019,0.000949999999999999,0.000949999999999999,0,0.00190000000007791,513779.662304407,402670.78606833,0.00430012438949956,0.5,0.00430012438949956,100000000,0.25,100000,0.577350269189626,1
1.64,-250326.459752666,-657684.745820997,-657684.745820997,-0.0018,0.000899999999999999,0.000899999999999999,0,0.00180000000008224,521898.650464887,407358.28606833,0.00438449938949956,0.5,0.00438449938949956,100000000,0.25,100000,0.577350269189626,1
1.66,-255320.447913146,-667366.233981476,-667366.233981476,-0.0017,0.000849999999999999,0.000849999999999999,0,0.00170000000008707,530017.638625366,412045.78606833,0.00446887438949956,0.5,0.00446887438949956,100000000,0.25,100000,0.577350269189626,1
