t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q,void,gamma,G,nu,Sy,M,Group
0.39,-315382.035467391,-109294.612847153,-109294.612847153,-0.00149745829908684,0.000748729149543421,0.000748729149543421,0,0.0014974582991857,177990.420387232,206087.422620238,0.000810500223686048,0.5,0.000810500223686048,100000000,0.25,100000,0.577350269189626,1
0.4,-317203.027615834,-110356.45258686,-110356.45258686,-0.00151365355047321,0.000756826775236605,0.000756826775236605,0,0.00151365355057101,179305.310929851,206846.575028974,0.000824164967043295,0.5,0.000824164967043295,100000000,0.25,100000,0.577350269189626,1
0.41,-318856.053794184,-111320.349596766,-111320.349596766,-0.00152835497273333,0.000764177486366665,0.000764177486366665,0,0.00152835497283019,180498.917662572,207535.704197417,0.000836569292075273,0.5,0.000836569292075273,100000000,0.25,100000,0.577350269189626,1
0.42,-320339.482181594,-112185.352344916,-112185.352344916,-0.00154154805303756,0.000770774026518781,0.000770774026518781,0,0.00154154805313359,181570.062290475,208154.129836678,0.000847700953581967,0.5,0.000847700953581967,100000000,0.25,100000,0.577350269189626,1
0.43,-321651.850724255,-112950.608292302,-112950.608292302,-0.00155321978840343,0.000776609894201717,0.000776609894201717,0,0.00155321978849874,182517.689102953,208701.242431953,0.000857548980296923,0.5,0.000857548980296923,100000000,0.25,100000,0.577350269189626,1
0.44,-322791.867135397,-113615.36389287,-113615.36389287,-0.00156335868569567,0.000781679342847833,0.000781679342847833,0,0.00156335868579035,183340.864973712,209176.503242527,0.000866103674887244,0.5,0.000866103674887244,100000000,0.25,100000,0.577350269189626,1
0.45,-323758.408895287,-114178.964593518,-114178.964593518,-0.00157195476162616,0.000785977380813078,0.000785977380813078,0,0.00157195476172032,184038.779360775,209579.444301768,0.000873356613953594,0.5,0.000873356613953594,100000000,0.25,100000,0.577350269189626,1
0.46,-324550.523251231,-114640.854834096,-114640.854834096,-0.00157899954275398,0.00078949977137699,0.00078949977137699,0,0.00157899954284773,184610.744306474,209909.668417135,0.000879300648030195,0.5,0.000879300648030195,100000000,0.25,100000,0.577350269189626,1
0.47,-325167.427217574,-115000.578047403,-115000.578047403,-0.0015844860654854,0.000792243032742699,0.000792243032742699,0,0.00158448606557882,185056.19443746,210166.849170171,0.00088392990158483,0.5,0.00088392990158483,100000000,0.25,100000,0.577350269189626,1
0.48,-325608.84380641,-115257.141060892,-115257.141060892,-0.00158840887668705,0.000794204438343525,0.000794204438343525,0,0.00158840887678024,185374.375309398,210351.702745519,0.000887236534201987,0.5,0.000887236534201987,100000000,0.25,100000,0.577350269189626,1
0.49,-325881.081917008,-115397.534071152,-115397.534071152,-0.00159076409214066,0.00079538204607033,0.00079538204607033,0,0.00159076409223372,185558.716686438,210483.547845856,0.000889152265987807,0.5,0.000889152265987807,100000000,0.25,100000,0.577350269189626,1
0.5,-325951.451265756,-115482.930907418,-115482.930907418,-0.00159154941372712,0.000795774706863561,0.000795774706863561,0,0.00159154941382013,185639.104360197,210468.520358337,0.000889987679199332,0.5,0.000889987679199332,100000000,0.25,100000,0.577350269189626,1
0.51,-325778.368466623,-115591.748087488,-115591.748087488,-0.00159076407826422,0.000795382039132112,0.000795382039132112,0,0.00159076407835728,185653.954880533,210186.620379135,0.000890142010333775,0.5,0.000890142010333775,100000000,0.25,100000,0.577350269189626,1
0.52,-325328.599090803,-115787.044196262,-115787.044196262,-0.00158840886429269,0.000794204432146345,0.000794204432146345,0,0.00158840886438588,185634.229161109,209541.55489454,0.000889937014644222,0.5,0.000889937014644222,100000000,0.25,100000,0.577350269189626,1
0.53,-324577.257666707,-116116.51988574,-116116.51988574,-0.00158448609207619,0.000792243046038093,0.000792243046038093,0,0.00158448609216961,185603.432479396,208460.737780967,0.000889616966139631,0.5,0.000889616966139631,100000000,0.25,100000,0.577350269189626,1
0.54,-323507.807679968,-116612.517875024,-116612.517875024,-0.00157899962360131,0.000789499811800655,0.000789499811800655,0,0.00157899962369506,185577.614476672,206895.289804944,0.000889348657584829,0.5,0.000889348657584829,100000000,0.25,100000,0.577350269189626,1
0.55,-322112.061573441,-117292.022950317,-117292.022950317,-0.0015719548625776,0.000785977431288799,0.000785977431288799,0,0.00157195486267177,185565.369158025,204820.038623124,0.000889221400500519,0.5,0.000889221400500519,100000000,0.25,100000,0.577350269189626,1
0.56,-320390.180747199,-118156.661964923,-118156.661964923,-0.00156335875443753,0.000781679377218763,0.000781679377218763,0,0.00156335875453221,185567.834892348,202233.518782275,0.000889247025163275,0.5,0.000889247025163275,100000000,0.25,100000,0.577350269189626,1
0.57,-318350.675558536,-119192.703839248,-119192.703839248,-0.0015532197863365,0.000776609893168252,0.000776609893168252,0,0.00155321978643181,185578.694412344,199157.971719289,0.000889359880605542,0.5,0.000889359880605542,100000000,0.25,100000,0.577350269189626,1
0.58,-316010.112409318,-120371.612787112,-120371.612787112,-0.00154154798487482,0.000770773992437409,0.000770773992437409,0,0.00154154798497085,185584.445994514,195638.499622206,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.59,-313371.478043936,-121690.929969803,-121690.929969803,-0.00152835481304791,0.000764177406523953,0.000764177406523953,0,0.00152835481314476,185584.445994514,191680.548074133,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.6,-310431.181851539,-123161.078066001,-123161.078066001,-0.00151365333208592,0.000756826666042961,0.000756826666042961,0,0.00151365333218372,185584.445994514,187270.103785537,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.61,-307192.138035727,-124780.599973907,-124780.599973907,-0.00149745811300687,0.000748729056503433,0.000748729056503433,0,0.00149745811310572,185584.445994514,182411.53806182,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.62,-303657.545336923,-126547.896323309,-126547.896323309,-0.00147978514951284,0.000739892574756422,0.000739892574756422,0,0.00147978514961288,185584.445994514,177109.649013614,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.63,-299830.887032369,-128461.225475586,-128461.225475586,-0.00146065185799007,0.000730325928995036,0.000730325928995036,0,0.00146065185809142,185584.445994514,171369.661556783,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.64,-295715.930936131,-130518.703523706,-130518.703523705,-0.00144007707750888,0.000720038538754441,0.000720038538754441,0,0.00144007707761167,185584.445994514,165197.227412425,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.65,-291316.729399096,-132718.304292223,-132718.304292223,-0.00141808106982371,0.000709040534911854,0.000709040534911854,0,0.00141808106992809,185584.445994514,158598.425106873,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.66,-286637.619308974,-135057.859337284,-135057.859337284,-0.0013946855193731,0.000697342759686548,0.000697342759686548,0,0.00139468551947924,185584.445994514,151579.75997169,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.67,-281683.222090296,-137535.057946623,-137535.057946623,-0.00136991353327971,0.000684956766639853,0.000684956766639853,0,0.00136991353338776,185584.445994514,144148.164143673,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.68,-276458.44271515,-140147.447634196,-140147.447634196,-0.00134378963640398,0.000671894818201989,0.000671894818201989,0,0.00134378963651414,185584.445994514,136310.995080954,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.69,-270968.418809793,-142892.459586874,-142892.459586874,-0.00131633951687719,0.000658169758438596,0.000658169758438596,0,0.00131633951698965,185584.445994514,128075.959222918,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.7,-265218.578785267,-145767.379599137,-145767.379599137,-0.00128759031675456,0.000643795158377282,0.000643795158377282,0,0.00128759031686953,185584.445994514,119451.19918613,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.71,-259214.618422661,-148769.35978044,-148769.35978044,-0.00125757051494153,0.000628785257470766,0.000628785257470766,0,0.00125757051505924,185584.445994514,110445.258642221,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.72,-252962.466379673,-151895.435801934,-151895.435801934,-0.00122630975472659,0.000613154877363297,0.000613154877363297,0,0.0012263097548473,185584.445994514,101067.030577739,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.73,-246468.284190612,-155142.526896465,-155142.526896465,-0.00119383884378129,0.000596919421890644,0.000596919421890644,0,0.00119383884390528,185584.445994514,91325.757294147,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.74,-239738.466266396,-158507.435858573,-158507.435858573,-0.00116018975416021,0.000580094877080103,0.000580094877080103,0,0.0011601897542878,185584.445994514,81231.0304078225,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.75,-232779.639894553,-161986.849044495,-161986.849044495,-0.00112539562230099,0.000562697811150495,0.000562697811150495,0,0.00112539562243253,185584.445994514,70792.790850058,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.76,-225598.665239221,-165577.33637216,-165577.33637216,-0.00108949074902433,0.000544745374512166,0.000544745374512166,0,0.0010894907491602,185584.445994514,60021.3288670604,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.77,-218202.635341148,-169275.351321197,-169275.351321197,-0.00105251059953397,0.000526255299766985,0.000526255299766985,0,0.00105251059967461,185584.445994514,48927.2840199518,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.78,-210598.874691612,-173077.231645965,-173077.231645965,-0.00101449179628629,0.000507245898143143,0.000507245898143143,0,0.0010144917964322,185584.445994514,37521.6430456465,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.79,-202794.863037382,-176979.23747308,-176979.23747308,-0.000975471738015139,0.000487735869007569,0.000487735869007569,0,0.000975471738166891,185584.445994514,25815.6255643024,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.8,-194798.313583819,-180977.512199861,-180977.512199861,-0.000935488990747322,0.000467744495373661,0.000467744495373661,0,0.00093548899090556,185584.445994514,13820.8013839575,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.81,-186617.146146762,-185068.09591839,-185068.09591839,-0.000894583153562036,0.000447291576781018,0.000447291576781018,0,0.000894583153727509,185584.445994514,1549.05022837146,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.82,-178259.438962863,-189246.94951034,-189246.94951034,-0.000852794617642542,0.000426397308821271,0.000426397308821271,0,0.000852794617816124,185584.445994514,10987.5105474767,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.83,-169733.428689588,-193509.954646977,-193509.954646977,-0.000810164566276166,0.000405082283138083,0.000405082283138083,0,0.000810164566458882,185584.445994514,23776.5259573894,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.84,-161047.510405214,-197852.913789164,-197852.913789164,-0.000766734974854299,0.00038336748742715,0.00038336748742715,0,0.000766734975047364,185584.445994514,36805.4033839495,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.85,-152210.237608833,-202271.550187354,-202271.550187354,-0.000722548610872395,0.000361274305436197,0.000361274305436197,0,0.000722548611077266,185584.445994514,50061.3125785208,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.86,-143230.322220348,-206761.507881597,-206761.507881597,-0.00067764903392997,0.000338824516964985,0.000338824516964985,0,0.000677649034148416,185584.445994514,63531.1856612483,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.87,-134116.634580475,-211318.351701533,-211318.351701533,-0.000632080595730605,0.000316040297865302,0.000316040297865302,0,0.000632080595964799,185584.445994514,77201.7171210579,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.88,-124878.202577073,-215937.567703234,-215937.567703234,-0.000585888435713593,0.000292944217856796,0.000292944217856796,0,0.000585888435966251,185584.445994514,91059.3651261615,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.89,-115524.146240301,-220614.595871621,-220614.595871621,-0.000539118154029732,0.000269559077014866,0.000269559077014866,0,0.000539118154304309,185584.445994514,105090.44963132,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.9,-106063.682540572,-225344.827721485,-225344.827721485,-0.000491815835531087,0.000245907917765544,0.000245907917765544,0,0.000491815835832073,185584.445994514,119281.145180913,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.91,-96506.1459106187,-230123.596036462,-230123.596036462,-0.000444028152381321,0.000222014076190661,0.000222014076190661,0,0.000444028152714701,185584.445994514,133617.450125843,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.92,-86860.9677652365,-234946.185109153,-234946.185109153,-0.00039580226165441,0.000197901130827205,0.000197901130827205,0,0.000395802262028409,185584.445994514,148085.217343916,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.93,-77137.6677180395,-239807.835132751,-239807.835132751,-0.000347185761418425,0.000173592880709213,0.000173592880709213,0,0.000347185761844796,185584.445994514,162670.167414712,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
0.94,-67345.8431929604,-244703.747395291,-244703.747395291,-0.00029822663879303,0.000149113319396515,0.000149113319396515,0,0.000298226639289396,185584.445994514,177357.90420233,0.000889419652800797,0.5,0.000889419652800797,100000000,0.25,100000,0.577350269189626,1
