t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q
0.57,201438141.674032,2.02089583509507e-09,1.50268523555696e-09,0.00114,-0.000267842787488952,-0.000267842787488952,0.000604314425022096,0.000938561858483688,-67146047.2246773,201438141.674032,0.00013280929162984
0.58,201629554.204485,2.37721256839501e-09,1.78765560347584e-09,0.00116,-0.000277555668693272,-0.000277555668693272,0.000604888662613455,0.000958370445949975,-67209851.401495,201629554.204485,0.000151852228977575
0.59,201820193.839265,2.21079555669292e-09,1.59280417849284e-09,0.00118,-0.000287269709241103,-0.000287269709241103,0.000605460581517795,0.000978179806312067,-67273397.9464216,201820193.839265,0.000170899030803676
0.6,202010816.2094,2.03270192063869e-09,1.38723467975766e-09,0.0012,-0.0002969837756859,-0.0002969837756859,0.0006060324486282,0.000997989183938928,-67336938.7364666,202010816.2094,0.000189945918953001
0.61,202201438.579535,1.85460828458445e-09,1.18166518102249e-09,0.00122,-0.000306697842130697,-0.000306697842130697,0.000606604315738605,0.00101779856156591,-67400479.5265116,202201438.579535,0.000208992807102326
0.62,202392060.94967,1.67651464853022e-09,9.76095682287313e-10,0.00124,-0.000316411908575495,-0.000316411908575495,0.00060717618284901,0.00103760793919299,-67464020.3165566,202392060.94967,0.00022803969525165
0.63,202582683.319805,1.49842101247599e-09,7.70526183552138e-10,0.00126,-0.000326125975020292,-0.000326125975020292,0.000607748049959415,0.00105741731682019,-67527561.1066016,202582683.319805,0.000247086583400975
0.64,202773299.506923,1.34382823297296e-09,5.85899135440386e-10,0.00128,-0.000335840050739615,-0.000335840050739615,0.00060831989852077,0.00107722670063049,-67591099.8356411,202773299.506923,0.000266133502465383
0.65,202963798.518696,1.63460397807291e-09,7.98155848369553e-10,0.0013,-0.000345554302221955,-0.000345554302221955,0.00060889139555609,0.00109703620161624,-67654599.5062322,202963798.518696,0.000285181007406517
0.66,203154297.53047,1.92537972317287e-09,1.01041256129872e-09,0.00132,-0.000355268553704295,-0.000355268553704295,0.000609462892591409,0.00111684570260207,-67718099.1768232,203154297.53047,0.000304228512347652
0.67,203344796.542243,2.21615546827282e-09,1.22266927422789e-09,0.00134,-0.000364982805186636,-0.000364982805186636,0.000610034389626728,0.00113665520358799,-67781598.8474142,203344796.542243,0.000323276017288786
0.68,203535295.554016,2.50693121337278e-09,1.43492598715705e-09,0.00136,-0.000374697056668976,-0.000374697056668976,0.000610605886662048,0.00115646470457399,-67845098.5180053,203535295.554016,0.00034232352222992
0.69,203725794.565789,2.79770695847273e-09,1.64718270008622e-09,0.00138,-0.000384411308151316,-0.000384411308151316,0.000611177383697367,0.00117627420556006,-67908598.1885963,203725794.565789,0.000361371027171055
0.7,203916292.767301,3.07408948606441e-09,1.86849188005644e-09,0.0014,-0.000394125560849048,-0.000394125560849048,0.000611748878301904,0.00119608370735646,-67972097.5891005,203916292.767301,0.000380418536163493
0.71,204106785.142724,3.24697919502829e-09,2.15489181051907e-09,0.00142,-0.000403839822285913,-0.000403839822285913,0.000612320355428173,0.00121589321497902,-68035595.0475748,204106785.142724,0.000399466074286378
0.72,204297277.518147,3.41986890399217e-09,2.44129174098171e-09,0.00144,-0.000413554083722779,-0.000413554083722779,0.000612891832554442,0.00123570272260165,-68099092.5060491,204297277.518147,0.000418513612409263
0.73,204487769.89357,3.59275861295606e-09,2.72769167144434e-09,0.00146,-0.000423268345159644,-0.000423268345159644,0.000613463309680711,0.00125551223022433,-68162589.9645234,204487769.89357,0.000437561150532148
0.74,204678262.268993,3.76564832191994e-09,3.01409160190697e-09,0.00148,-0.00043298260659651,-0.00043298260659651,0.00061403478680698,0.00127532173784708,-68226087.4229978,204678262.268993,0.000456608688655033
0.75,204868754.644416,3.93853803088382e-09,3.30049153236961e-09,0.0015,-0.000442696868033375,-0.000442696868033375,0.000614606263933249,0.00129513124546988,-68289584.8814721,204868754.644416,0.000475656226777918
0.76,205059247.019839,4.1114277398477e-09,3.58689146283224e-09,0.00152,-0.000452411129470241,-0.000452411129470241,0.000615177741059518,0.00131494075309274,-68353082.3399464,205059247.019839,0.000494703764900804
0.77,205249739.395262,4.28431744881159e-09,3.87329139329488e-09,0.00154,-0.000462125390907106,-0.000462125390907106,0.000615749218185787,0.00133475026071564,-68416579.7984207,205249739.395262,0.000513751303023689
0.78,205440231.770685,4.45720715777547e-09,4.15969132375751e-09,0.00156,-0.000471839652343972,-0.000471839652343972,0.000616320695312056,0.0013545597683386,-68480077.2568951,205440231.770685,0.000532798841146574
0.79,205630724.146108,4.63009686673935e-09,4.44609125422014e-09,0.00158,-0.000481553913780838,-0.000481553913780838,0.000616892172438325,0.0013743692759616,-68543574.7153694,205630724.146108,0.000551846379269459
0.8,205821216.203975,4.79316470604561e-09,4.703480328705e-09,0.0016,-0.000491268175694037,-0.000491268175694037,0.000617463648611927,0.0013941787839022,-68607072.0679918,205821216.203975,0.000570893918980123
0.81,206011705.978494,4.88560949150872e-09,4.75227009214497e-09,0.00162,-0.000500982441032259,-0.00050098244103226,0.000618035117935481,0.0014139882941262,-68670568.6594979,206011705.978494,0.000589941470107532
0.82,206202195.753012,4.97805427697183e-09,4.80105985558495e-09,0.00164,-0.000510696706370482,-0.000510696706370482,0.000618606587259036,0.00143379780435023,-68734065.2510039,206202195.753012,0.000608989021234941
0.83,206392685.52753,5.07049906243494e-09,4.84984961902492e-09,0.00166,-0.000520410971708705,-0.000520410971708705,0.00061917805658259,0.00145360731457431,-68797561.84251,206392685.52753,0.00062803657236235
0.84,206583175.302048,5.16294384789805e-09,4.8986393824649e-09,0.00168,-0.000530125237046928,-0.000530125237046928,0.000619749525906145,0.00147341682479842,-68861058.434016,206583175.302048,0.000647084123489759
0.85,206773665.076566,5.25538863336116e-09,4.94742914590487e-09,0.0017,-0.00053983950238515,-0.00053983950238515,0.000620320995229699,0.00149322633502257,-68924555.0255221,206773665.076566,0.000666131674617168
